TRM,edson_median,hinton_median,whitecourt_median
"012084",28797.6435,,28796.761
"012094",28795.66,,28797.659
"012104",28796.1395,,28795.547
"012114",28794.1855,,28759.579
"012124",28775.9785,,28504.457
"012134",28386.71,,27905.323
"012144",28059.3235,28793.717,27578.262
"012154",27854.575,28791.696,27381.793
"012164",27545.912,28789.2975,27064.005
"012174",27801.052,28794.408,27387.549
"012184",27559.733,28795.1815,27634.264
"012194",26991.278,28726.626,27093.428
"012204",26737.6465,28497.291,26841.01
"012214",26030.393,27819.223,26136.739
"012224",25531.414,27314.884,25635.836
"012234",24847.841,26633.1125,24951.521
"012244",24418.008,26205.049,24526.359
"012254",23985.916,25769.1205,24090.802
"012264",23513.216,25295.447,23622.47
"012274",23228.003,25012.26,23331.431
"012284",23922.838,25708.231,24028.032
"012294",24441.847,26152.462,24552.0535
"012304",24399.304,26004.636,24491.008
"013014",,,
"013015",24677.4445,26284.833,24787.941
"013024",,,
"013025",23113.159,24723.265,23209.963
"013034",,,28797.669
"013035",23764,24569.3505,23867.407
"013044",28797.4055,,28794.121
"013045",24399.0315,24102.529,24523.9945
"013054",28797.46,,28712.308
"013055",26677.0145,25457.0145,26779.344
"013064",28709.189,,28244.78
"013065",26250.994,25323.496,26357.387
"013074",28629.1495,,28156.089
"013084",28792.42,,28526.402
"013094",28790.0575,,28666.292
"013104",28787.241,,28743.1435
"013114",28767.3395,,28466.426
"013124",28204.847,,27722.3335
"013134",27867.7725,28793.169,27384.518
"013144",27723.474,28791.104,27244.33
"013154",27402.2985,28787.304,26918.738
"013164",27039.851,28791.495,26556.498
"013174",27542.0775,28794.387,27136.648
"013184",27366.124,28794.9365,27458.77
"013194",26659.88,28441.3685,26765.099
"013204",26319.515,28099.365,26426.227
"013214",25976.362,27759.183,26079.995
"013224",25559.3525,27345.435,25664.508
"013234",24648.3355,26428.947,24752.799
"013244",24721.522,26504.0835,24826.115
"013254",24032.543,25814.805,24137.733
"013264",23538.347,25325.603,23642.717
"013274",22912.424,24694.45,23015.7705
"013284",23470.915,25249.9745,23569.27
"013294",24475.052,26239.872,24581.607
"013304",25266.0915,26941.638,25396.785
"014014",,,
"014015",22938.362,24582.314,23045.272
"014024",,,28797.954
"014025",22541.525,24151.3145,22651.736
"014034",28796.409,,28797.1855
"014035",23173.485,24264.8055,23274.968
"014044",28791.487,,28765.998
"014045",23509.305,23273.808,23608.641
"014054",28793.145,,28784.9765
"014055",24665.7755,23387.2325,24777.352
"014064",28788.333,,28793.616
"014065",25429.426,24206.556,25533.7785
"014074",28762.885,,28325.665
"014084",28034.714,,27554.384
"014094",27982.641,,27495.9495
"014104",28601.924,,28117.457
"014114",28769.86,,28627.9975
"014124",28388.518,28792.7185,28186.728
"014134",27251.9115,28790.414,26768.146
"014144",27493.1195,28785.487,27061.173
"014154",27113.43,28788.282,26631.646
"014164",26698.422,28792.181,26213.732
"014174",27098.487,28788.038,26751.002
"014184",26760.136,28544.082,26864.2195
"014194",26230.604,28014.871,26334.6415
"014204",25879.169,27661.145,25982.007
