TRM,edson_median,hinton_median,whitecourt_median
"010244",27001.596,28889.56,27111.439
"010254",26457.642,28342.081,26565.079
"010264",25808.157,27696.023,25918.715
"010274",26169.7935,28055.001,26277.102
"010284",27466.856,29353.665,27576.971
"010294",28600.579,30458.8415,28708.4785
"010304",28322.514,30022.151,28432.935
"011014",33021.202,35582.132,32490.3805
"011015",25581.5205,27285.345,25695.874
"011024",32790.9495,35353.405,32261.352
"011025",25763.2425,27302.12,25866.537
"011034",32329.28,34891.1175,31799.7305
"011035",26611.3065,26767.7235,26718.7325
"011044",32248.797,34812.749,31720.9815
"011045",27805.454,27533.147,27911.875
"011054",31544.481,34108.095,31016.771
"011055",29594.8295,29254.477,29693.6205
"011064",31788.593,34351.551,31260.839
"011065",30141.246,29910.8935,30263.7625
"011074",31807.7565,34370.803,31278.585
"011084",32327.515,34891.513,31801.292
"011094",32990.587,35556.244,32464.278
"011104",32777.918,35344.466,32252.805
"011114",31953.073,34518.2065,31426.8745
"011124",32133.315,34654.0455,31607.808
"011134",32341.4045,34605.7445,31814.981
"011144",31056.237,33614.407,30525.7045
"011154",30412.4945,32977.41,29886.489
"011164",29750.606,32312.677,29222.422
"011174",30278.794,32650.4285,29763.215
"011184",30597.172,32487.484,30614.071
"011194",29415.0805,31300.317,29522.201
"011204",28470.724,30358.383,28580.686
"011214",27998.356,29884.938,28107.668
"011224",27708.301,29593.7985,27816.02
"011234",26954.637,28841.573,27063.068
"011244",26845.771,28732.575,26954.229
"011254",26346.1075,28232.317,26454.123
"011264",25437.039,27322.095,25544.812
"011274",25483.0875,27368.84,25590.843
"011284",26455.777,28342.5915,26563.833
"011294",27067.239,28949.8885,27186.167
"011304",26234.895,27964.063,26338.332
"012014",33497.581,36059.74,32968.7645
"012015",25308.9065,27007.905,25419.1335
"012024",33231.883,35795.623,32703.9555
"012025",25141.766,26650.085,25254.659
"012034",32616.9815,35181.487,32091.64
"012035",25564.9515,26025.2365,25674.472
"012044",31625.819,34187.857,31096.118
"012045",27214.304,26948.532,27326.111
"012054",31016.643,33578.957,30486.9125
"012055",29129.6235,28372.768,29239.976
"012064",30962.896,33527.2175,30436.251
"012074",31583.691,34146.1485,31054.4105
"012084",32245.908,34806.928,31715.051
"012094",33838.188,36400.139,33307.53
"012104",33842.04,36404.7955,33316.7625
"012114",31569.2885,34133.307,31040.6385
"012124",31077.082,33635.5345,30542.4005
"012134",30393.598,32959.847,29868.2535
"012144",29929.7505,32493.0735,29401.9585
"012154",29587.095,32152.758,29060.298
"012164",29224.646,31789.0905,28698.178
"012174",29610.5045,31945.166,29088.8675
"012184",29575.691,31464.835,29584.166
"012194",28951.305,30835.919,29058.309
"012204",28656.1105,30542.259,28764.7925
"012214",27802.631,29690.0985,27912.6995
"012224",27294.083,29181.545,27403.32
