TRM,FMU,Ecozone,sp,vol,stems,residue,r2,res
"42215",,"14",Se,"254.0677684","913.9128361","58.44582257","58.44582257",
"34185",R11,"14",Se,"253.9007996","913.3122289","58.40741301","58.40741301",
"34185",,"14",Se,"253.9007996","913.3122289","58.40741301","58.40741301",
"34145",R11,"14",Se,"253.5553099","912.06946","58.32793645","58.32793645",
"56036",E14,"14",Sb,"271.457354","1357.28677","58.26560647","58.26560647",
"33145",R11,"14",Se,"253.1405337","910.5774594","58.23252122","58.23252122",
"33145",,"14",Se,"253.1405337","910.5774594","58.23252122","58.23252122",
"33175",,"14",Se,"252.9826842","910.0096554","58.19620947","58.19620947",
"39215",R11,"14",Se,"252.7486665","909.1678653","58.14237598","58.14237598",
"39215",,"14",Se,"252.7486665","909.1678653","58.14237598","58.14237598",
"53036",,"14",Fa,"233.8514243","841.1921737","58.08415136","58.08415136",
"45235",E13,"14",Fa,"232.2764665","835.526858","57.69296244","57.69296244",
"45235",,"14",Fa,"232.2764665","835.526858","57.69296244","57.69296244",
"55265",E14,"9",Pl,"321.8634405","1609.317202","57.60229062","57.60229062",
"32185",,"14",Se,"250.1331426","899.7595057","57.5407001","57.5407001",
"56026",E14,"9",Pl,"321.1153605","1605.576803","57.4684105","57.4684105",
"58215",E14,"9",Sb,"250.1617428","1250.808714","57.26577534","57.26577534",
"52046",,"14",Se,"248.3724416","893.4260491","57.13566795","57.13566795",
"44265",,"14",Se,"248.0501738","892.2668123","57.06153337","57.06153337",
"35165",R11,"14",Se,"247.7807339","891.2976041","56.99955134","56.99955134",
"35165",,"14",Se,"247.7807339","891.2976041","56.99955134","56.99955134",
"55275",E14,"9",Pl,"317.3940191","1586.970096","56.80242063","56.80242063",
"32175",,"14",Se,"246.47619","886.605","56.69945367","56.69945367",
"58116",G16,"14",Fa,"241.2747152","574.4636076","56.57248672","56.57248672",
"51076",,"14",Fa,"227.735558","819.1926545","56.56508896","56.56508896",
"57275",E14,"9",Pl,"315.919212","1579.59606","56.53848178","56.53848178",
"41195",R11,"14",Se,"245.6698357","883.7044451","56.51395971","56.51395971",
"51056",,"14",Fa,"227.3785265","817.9083685","56.47640927","56.47640927",
"38264",,"10",Sw,"372.6920323","1340.618821","56.11669511","56.11669511",
"41185",R11,"14",Se,"243.8355315","877.1062285","56.09199584","56.09199584",
"49046",,"14",Se,"243.6619591","876.4818674","56.0520672","56.0520672",
"47185",E14,"9",Pl,"312.4878649","1562.439324","55.92439074","55.92439074",
"57016",E14,"9",Pl,"311.9413424","1559.706712","55.82658234","55.82658234",
"47255",E13,"14",Fa,"224.3329504","806.9530591","55.71994734","55.71994734",
"47255",,"14",Fa,"224.3329504","806.9530591","55.71994734","55.71994734",
"54255",E14,"9",Pl,"311.2856418","1556.428209","55.70923488","55.70923488",
"29125",,"14",Se,"241.7433823","869.5805117","55.61071722","55.61071722",
"51066",,"14",Fa,"223.6340977","804.4392004","55.5463659","55.5463659",
"42195",R13,"14",Se,"249.0223994","895.7640265","55.54041524","55.54041524",
"42225",,"14",Se,"241.2174396","867.6886317","55.48972923","55.48972923",
"96234",S22,"9",Sb,"299.3586068","1474.67294","55.4550759","55.4550759",
"55255",E14,"9",Pl,"308.5632366","1542.816183","55.22201963","55.22201963",
"43215",E13,"14",Se,"239.5622207","861.7346069","55.10896219","55.10896219",
"43215",,"14",Se,"239.5622207","861.7346069","55.10896219","55.10896219",
"31125",R11,"14",Se,"239.5498268","861.6900246","55.1061111","55.1061111",
"31125",,"14",Se,"239.5498268","861.6900246","55.1061111","55.1061111",
