Tree_num,Province,Ecozone,Genus,Species,Variety,DBH,Height,stem_wood,stem_bark,branches,foliage
2588,AB,14,ABIE,LAS,,18.2,14.76,61,11,15,11
2589,AB,14,ABIE,LAS,,18.3,14.79,62,11,16,11
2590,AB,14,ABIE,LAS,,18.4,14.82,63,11,16,11
2591,AB,14,ABIE,LAS,,18.5,14.85,63,11,16,11
2592,AB,14,ABIE,LAS,,18.6,14.88,64,11,16,12
2593,AB,14,ABIE,LAS,,18.7,14.91,65,11,17,12
2594,AB,14,ABIE,LAS,,18.8,14.94,66,11,17,12
2595,AB,14,ABIE,LAS,,18.9,14.97,66,12,17,12
2596,AB,14,ABIE,LAS,,19,15,67,12,18,12
2597,AB,14,ABIE,LAS,,19.1,15.03,68,12,18,12
2598,AB,14,ABIE,LAS,,19.2,15.06,68,12,18,13
2599,AB,14,ABIE,LAS,,19.3,15.09,69,12,18,13
2600,AB,14,ABIE,LAS,,19.4,15.12,70,12,19,13
2601,AB,14,ABIE,LAS,,19.5,15.15,71,12,19,13
2602,AB,14,ABIE,LAS,,19.6,15.18,72,13,19,13
2603,AB,14,ABIE,LAS,,19.7,15.21,72,13,20,13
2604,AB,14,ABIE,LAS,,19.8,15.24,73,13,20,14
2605,AB,14,ABIE,LAS,,19.9,15.27,74,13,20,14
2606,AB,14,ABIE,LAS,,20,15.3,75,13,21,14
2607,AB,14,ABIE,LAS,,20.1,15.33,75,13,21,14
2608,AB,14,ABIE,LAS,,20.2,15.36,76,13,21,14
2609,AB,14,ABIE,LAS,,20.3,15.39,77,14,22,14
2610,AB,14,ABIE,LAS,,20.4,15.42,78,14,22,15
2611,AB,14,ABIE,LAS,,20.5,15.44,79,14,22,15
2612,AB,14,ABIE,LAS,,20.6,15.47,79,14,23,15
2613,AB,14,ABIE,LAS,,20.7,15.5,80,14,23,15
2614,AB,14,ABIE,LAS,,20.8,15.53,81,14,23,15
2615,AB,14,ABIE,LAS,,20.9,15.56,82,14,24,16
2616,AB,14,ABIE,LAS,,21,15.59,83,15,24,16
2617,AB,14,ABIE,LAS,,21.1,15.62,83,15,24,16
2618,AB,14,ABIE,LAS,,21.2,15.64,84,15,25,16
2619,AB,14,ABIE,LAS,,21.3,15.67,85,15,25,16
2620,AB,14,ABIE,LAS,,21.4,15.7,86,15,25,17
2621,AB,14,ABIE,LAS,,21.5,15.73,87,15,26,17
2622,AB,14,ABIE,LAS,,21.6,15.76,88,15,26,17
2623,AB,14,ABIE,LAS,,21.7,15.78,88,16,26,17
2624,AB,14,ABIE,LAS,,21.8,15.81,89,16,27,17
2625,AB,14,ABIE,LAS,,21.9,15.84,90,16,27,18
2626,AB,14,ABIE,LAS,,22,15.87,91,16,28,18
2627,AB,14,ABIE,LAS,,22.1,15.89,92,16,28,18
2628,AB,14,ABIE,LAS,,22.2,15.92,93,16,28,18
2629,AB,14,ABIE,LAS,,22.3,15.95,94,17,29,18
2630,AB,14,ABIE,LAS,,22.4,15.98,95,17,29,19
2631,AB,14,ABIE,LAS,,22.5,16,95,17,30,19
2632,AB,14,ABIE,LAS,,22.6,16.03,96,17,30,19
2633,AB,14,ABIE,LAS,,22.7,16.06,97,17,30,19
