TRM,merchvol_sum,abie_bal,abie_las,betu_pap,lari_lar,lari_lya,pice_eng,pice_gla,pice_mar,pinu_ban,pinu_con,pinu_spp,popu_bal,popu_spp,popu_tre,pseu_men,max value,max_species
74054,3143.150028,0.820611371,0,1.299282793,2.468581635,0,0,21.4462892,26.82060839,10.04732471,0.002701462,0,2.186233724,0,34.26124963,0,34.26124963,popu_tre
74055,44672.6732,3.807697025,0,3.060400085,0.968029445,0,0,31.31967009,12.03721032,0.668597791,2.279630466,0,4.060198425,0.007284126,41.57453535,0,41.57453535,popu_tre
74056,849.9133453,0,0,0.261807844,0,0,0,13.10921975,0.951416114,0,0,0,17.70508206,0,67.29212733,0,67.29212733,popu_tre
74064,3228.746662,0.09869516,0,0.045507998,5.610292283,0,0,15.67255821,45.80309286,22.44562714,0.009233872,0,0.671785468,0,9.0356083,0,45.80309286,pice_mar
74065,5238.006668,3.933293773,0,4.856008629,0.367359227,0,0,27.74220339,2.652460056,0.096755528,0.864883895,0,5.943409242,0.027926407,53.30014215,0,53.30014215,popu_tre
74066,4121.59668,0,0,0.174544311,0.68839219,0,0,12.91635945,2.568715675,0,0.45803994,0,10.87601181,0,71.99484008,0,71.99484008,popu_tre
74074,3934.906689,0.542321597,0,0.428993958,1.357826139,0,0,22.67646991,28.00038021,18.29328795,0.062747404,0.246284543,0.986341952,0,27.2448365,0,28.00038021,pice_mar
74075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74076,1124.036667,0,0,0.244363063,0.003153396,0,0,10.15188991,3.110680733,0,0.746221072,0,9.716562442,0,75.75329129,0,75.75329129,popu_tre
74084,2793.429977,0.17559444,0,1.107976597,4.379868036,0,0,20.26078559,28.31436272,16.53824754,0.614657412,0.430220781,1.905716507,0,25.67417114,0,28.31436272,pice_mar
74085,392.8933182,0,0,0,19.06535388,0,0,9.486418471,2.800653638,0,0,0,13.69638412,0,53.87175117,0,53.87175117,popu_tre
74086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74094,1757.570004,0.035241442,0,0.226638875,4.517643877,0,0,21.75293746,17.13458937,14.51891579,0,0,2.913347905,0,38.44630533,0,38.44630533,popu_tre
74095,384.8766708,1.404243838,0,0.668388714,13.03150156,0,0,18.62670174,3.11473281,0,0,0,3.344369283,0,59.16549108,0,59.16549108,popu_tre
74096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74104,1022.486675,0.138121355,0,0.384172233,9.498028585,0,0,21.75895283,31.62861841,10.48447507,0,0,0.366721458,0,24.92937399,0,31.62861841,pice_mar
74105,482.5600128,0,0,0.126345788,0.47062778,0,0,4.21393697,1.113132206,0,0,0,14.18826819,0,78.7747046,0,78.7747046,popu_tre
74106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74114,5514.239956,1.00796791,0,3.892388511,2.52588477,0,0,26.96105756,6.242983184,1.979905142,0.001288289,0,5.010271853,0,51.90851737,0,51.90851737,popu_tre
74115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74116,1321.48333,0,0,0.288804244,0.003038202,0,0,10.72433802,0.977599267,0,0.46289804,0,14.22577314,0,72.90748746,0,72.90748746,popu_tre
74124,255.4733315,7.436673021,0,0,0.933559836,0,0,26.3035614,36.26411457,15.543974,0,0,0,0,12.50547946,0,36.26411457,pice_mar
